1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,01/01/2019
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,Ensure future increases are later in the year,,
63,1. Regular meetings scheduled with Comms Teams  2. Clear all communications with  Business Change Manager and  Reputation Manager,,
64,1. The Fee project team to document their findings so if fees need to be re laid in Parliament the next project and stakeholders are aware of the process.  2. Regular engagement needed between Parliamentary teams and the project,,
65,"1. Portfolio Director to carry out resource planning for the portfolio, looking at resource capacity across the portfolio.",,
66,"1. Engage early with CAT so they and the project team fully understand the changes taking place and the impacts on the different areas of the business including Commercials, Security, Operations etc are fully understood and documented so appropriate engagement can be established.",,
67,1. Appoint an owner to understand the legal ScopeRequirements for the Welsh language  2. Identify ScopeRequirements for each  system to be updated 3. Ensure there is a longer lead time so the owners of systems and webpages have sufficient time to plan for and implement the changes.,,
68,1. Ensure version protocols are applied on all documentation.,,
69,"1. Engage on progress and issues via regular calls. 2. Escalate issues asap to enable blockers to be resolved quickly. 3. Assess what contingencies, if any, need to be implemented to manage the level of applications i.e. training staff from other Government Departments to process applications.  4. Ensure an appropriate length of time is given to recruit external staff e.g. to take account of average security clearance processing times.",,
70,1. Plan earlier to manage application numbers during peak periods including any contingencies required.,,
71,1. Always schedule wash up calls with stakeholders following go-live of a project or during a project where appropriate.  2. Log issue on a log and use at meetings to track resolution progress,,
72,"1. Ensure appropriate stakeholders are engaged. Detail impacts, testing and engagement required.",,
73,1. Request early sight of implementation and transition approach from relevant area and share our approach with them,,
74,1. Engage as soon as practical but taking into account the sensitivity of the project.,,
75,1. Ensure all relevant project team are engaged with CAT or if unable to attend weekly calls - they should engage separately.,,
76,1. Early involvement in business planning and the impact of the project on customer demand.,,
77,1. Engage with Parliamentary leads early in the project,,
78,"1. Hold daily test calls with appropriate suppliers test people, HMPO Test Managers, project reps etc",,
79,1. Draft detailed Deployment Plan with the appropriate contacts in place/present to deal with any issues during the period.,,
80,1. Define roles and responsibilities at the outset of the project including the names of approvers,,
81,1. Assess impact of strategies on customer grouping as soon as direction of travel is set out,,
82,1. Ensure detailed planning and test with engagement of all appropriate stakeholders throughout the project,,
83,1. Ensure that open and honest dialogue takes place where required 2. Hold regular calls from an early stage to discuss progress and issues (to include planning calls with all teams including Comms) 3. Get approval from appropriate senior management via Mission Board to ensure there are no misunderstandings 4. Schedule regular meetings with the heads of work areas to keep them abreast of progress,,
84,1. Early engagement with HMPO senior leadership team,,
85,1. Engage as early as possible with suppliers,,
86,1. Engage different suppliers testing interaction between systems,,
87,1. Pay close attention to producing a detailed plan that is discussed with stakeholders 2. Schedule regular calls and meetings with each work area involved with the project,,
88,1. Engage with Ops to agree lead times needed for staff briefings,,
89,1,,
90,1. Discuss go-live dates to consider issues such as finance year end and take this into account if possible,,
91,1. Ensure timely updates of websites where possible but balance with the need for rollback if required,,
92,1. Engage with SPADS as early as possible,,
93,1. Take time to contingency plan so action can be quickly taken to inform suppliers/stakeholders what action they need to take.,,
94,1. Engage with Comms Teams to discuss ways for ensuring there is a right to reply in instances where information is given to a large audience,,
95,,,
