EUSS,03/07/2019,Communications,WWW,,,,2,,,Kept informed through stakeholder calls in lead up to anticipated initial deployment – TBCT engagement positive throughout,
EUSS,03/07/2019,Deployment,WWW,,,,2,,,"Given the speed at which this change needed to go in, it wasn’t taken forward as per usual change process in that the BCM had multiple responsibilities for delivering this change which she handled well",
EUSS,03/07/2019,Governance,WWW,,,,2,,,BIA captured the IT Service changes so that HMPO support teams were aware,
EUSS,03/07/2019,Training,WWW,,,,2,,,The PEGA process rolled out into the teams set up by the PEGA users.,
EUSS,03/07/2019,Training,WWW,,,,2,,,The desk training for the PEGA users by their peers.,
EUSS,03/07/2019,Deployment,WWW,,,,2,,,PCV access being given to all CID users,
EUSS,03/07/2019,Communications,WWW,,,,2,,,Project Team very helpful,
EUSS,03/07/2019,Deployment,WWW,,,,2,,,Engineers who came to site to do the install.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,There was a method to understand the latest update without having to contact the BCM directly,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,"Once BIA gap identified, the project team were very quick to resolve",
EUSS,03/07/2019,Deployment,EBI,,,,2,,,The original PCV user access was given to NNCI examiners rather than the PEGA users.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,Desk training had to be completed at the desks where the PEGA box was located. Better if a PEGA box was placed in a training area where the training could happen in a quieter location away from the teams.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,The PEGA users were located closer to each other for support.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,Communication on who was being given access to PCV was provided timely.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,Central team to set up mailboxes and spreadsheets for completion and a process to follow on the completion of the cases.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,"PEGA, CID and AMS were all on the one system to ease the completion of cases.",
EUSS,03/07/2019,Deployment,EBI,,,,2,,,The equipment should be universal to ensure any examiner can use. Currently some examiners have a switching unit with a button to change systems and others can switch between systems via the keyboard.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,If an explanation as to what the project was at initial contactas was unaware of it and had to go back to the project for clarity,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,"Local Change and Systems teams had been included from the start, would have ensured that the correct log on details and base units identified",
EUSS,03/07/2019,Deployment,EBI,,,,2,,,Liaise with Data Protection Officers at earliest opportunity when new Data Sharing Activity is identified.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,DPIA’s are the responsibility of who owns the data. UKVI therefore should have been identified as a key stakeholder at the earliest opportunity.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,There was an incorrect asset number on the original list.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,"Switch boxes were required, luckily we had some on site.",
EUSS,03/07/2019,Deployment,EBI,,,,2,,,There was a delay / confusion with delivery of the kit.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,Adapters had to be ordered as our monitors are mostly VGA connection.,
EUSS,03/07/2019,Deployment,EBI,,,,2,,,"Issues with power, for some desks we had to use extension leads.",
TP042C,03/04/2019,Communications,WWW,John Tharakan,Business,Feeback from Business,2,31/01/2019,,"Easy to communicate with team members and quickly resolve issues, stakeholders were engaged and provided responses to queries as and when needed.",Smooth running of Project with no issues dueing development and deployment
TP042C,03/04/2019,Communications,WWW,Bob Pruden,Business,Feeback from Business,2,,,Clear change documentation and communications for Phase 1 deployment facilitated smooth change assessment and approval,
TP042C,03/04/2019,Management,EBI,Bob Pruden,Business,Feeback from Business,2,,,There was some slight confusion as duplicate changes raised in ServiceNow but this was resolved quickly after a short conversation with Change Management,
TP042C,03/04/2019,Communications,WWW,Sue Mason,Business,Feeback from Business,2,,,Clear and timely stakeholder communication. Wider business comms clear and succinct,
TP042C,03/04/2019,Stakeholders,WWW,Paresh Pikale,Business,Feeback from Business,2,,,Team spirit - everyone worked as a team. Focus to get the release over the line and deliver value to business,
TP042C,03/04/2019,Assurance,WWW,Mick Hobday,Business,Feeback from Business,2,,,Excellent team dynamics and working.Excellent Project Management ensured smooth transition through Change and Assurance gates  R1 deployed to Production on time as planned,
TP042C,03/04/2019,Assurance,WWW,Mick Hobday,Business,Feeback from Business,2,,,Quality ScopeRequirements written by BA as acceptance criteria ensured quality delivery of ScopeRequirements and ScopeRequirements.,
TP042C,03/04/2019,Design,WWW,Mick Hobday,Business,Feeback from Business,2,,,"Effective strong design, software and infrastructure leadership and quality design documentation. Excellent stakeholder management and engagement.",
TP042C,03/04/2019,Communications,WWW,Mick Hobday,Business,Feeback from Business,2,,,"On site meet with Data Services team for meet the team , demo and feedback",
TP042C,03/04/2019,Testing,WWW,Mick Hobday,Business,Feeback from Business,2,,,UAT witnessed and supported by test team on site.,
TP042C,03/04/2019,Governance,WWW,Mick Hobday,Business,Feeback from Business,2,,,"Agile sprint development, well managed sprints.",
